translation_id,source_text,translation,action,reason,notes
T_5e10d32d2bd3_g1,,亲热姿势,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_64e73151b2bb_g1,,与 TheSerenadeOfShadows 的情人节合作,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_6626e1228c1d_g1,,情侣依偎姿势包,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_6d1e52cff66f_g1,,在大沙发上,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_72b899c3efb1_g1,,沙发上的 25 个恋足姿势。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_78f0edd0f7c4_g1,,两名模拟市民一边与门互动一边争吵的双人姿势，其中一人喝醉了。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_7ee42f3c7f36_g1,,玩闹情侣的接吻、拥抱 / 背人姿势,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_8226c928dcf5_g1,,一对情侣在咖啡馆里简单又可爱的约会姿势。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_8fe066445155_g1,,12 个单人姿势 + 1 个一体式合集。需要 Moc 的 iPhone11_R。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_95bed571f15a_g1,,在单人床上,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_97d0cb48bdab_g1,,包含 6 组姿势的姿势包，椅子使用随包赠送的餐椅。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_98d752022805_g1,,中性且陷入沉思的姿势！单人姿势带有张嘴和闭嘴动画。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_a33efc3b1bd9_g1,,一名模拟市民靠在墙边，躲藏、跪下并踮脚经过。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_a6b476207bd5_g1,,适用于人鱼的情绪 / 感受表情与肢体语言,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_abd9b9e3f20e_g1,,这些姿势旨在把 Kaley 那种强势、自信的气场带到你的模拟市民身上，同时展现他们较为柔和的一面。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_be59de423d79_g1,,需要 Natalia Auditore 制作的手机。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_bef2ab018ef8_g1,,6 个姿势，仅限右手持枪。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_c2372e45c235_g1,,遮住重点部位,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_d347c68c6060_g1,,3 名模拟市民在一张小圆桌旁交谈。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_dfb43803e77f_g1,,这个姿势包主打轻松、自然抓拍的氛围，展现那些细小却有意义的动作与表情。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_ecf5046d80d2_g1,,中性且沉思的坐姿。单人姿势带有张嘴和闭嘴动画。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
T_f86bb4ccbbe0_g1,,恋足姿势包。15 个地板上的姿势。,TRANSLATE,"DESC content-QA 人工修正 2026-08-15, 独立 correction layer, 不改旧 desc manual15","DESC content correction TRANSLATE (c26_desc_correction) DONE173 内 REVIEW_CANDIDATE 人工定稿"
